Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
Alan B. Shepard Jr.,1959,1,Deceased,1923-11-18,"East Derry, NH",Male,US Naval Academy,Naval Sciences,Naval Science,Rear Admiral,US Navy (Retired),2,216,2,9.0,"Mercury 3, Apollo 14",1998-07-21,Natural causes
Alan G. Poindexter,1998,17,Deceased,1961-11-05,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0.0,"STS-122 (Atlantis), STS-131 (Discovery)",2012-07-01,Personal watercraft accident
Alan L. Bean,1963,3,Deceased,1932-03-15,"Wheeler, TX",Male,University of Texas,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,1671,3,10.0,"Apollo 12, Skylab 3",2018-05-26,Natural causes
Albert Sacco Jr.,1963,3,Retired,1949-05-03,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,Captain,US Navy (Retired),1,381,0,0.0,STS-73 (Columbia),,
Alfred M. Worden,1966,5,Retired,1932-02-07,"Jackson, MI",Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,,
Alvin B. Drew Jr.,2000,18,Active,1962-11-05,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13.0,"STS-118 (Endeavor), STS-133 (Discovery)",,
Andrew J. Feustel,2000,18,Active,1965-08-25,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,Colonel,US Air Force,2,687,6,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",,
Andrew M. Allen,1987,12,Retired,1955-08-04,"Philadelphia, PA",Male,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0.0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
Andrew S. W. Thomas,1992,14,Management,1951-12-18,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,Lieutenant Colonel,US Marine Corps (Retired),4,4257,1,6.0,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
Anna L. Fisher,1978,8,Management,1949-08-24,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,Lieutenant Colonel,US Marine Corps (Retired),1,191,0,0.0,STS 51-A (Discovery),,
Anthony W. England,1967,6,Retired,1942-05-15,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,Lieutenant Colonel,US Marine Corps (Retired),1,190,0,0.0,STS 51-F (Challenger),,
Barbara R. Morgan,1998,17,Retired,1951-11-28,"Fresno, CA",Female,Stanford University,Human Biology,Geology; Geophysics,Lieutenant Colonel,US Marine Corps (Retired),1,305,0,0.0,STS-118 (Endeavor),,
Barry E. Wilmore,2000,18,Active,1962-12-29,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25.0,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Bernard A. Harris Jr.,1990,13,Retired,1956-06-26,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,Captain,US Navy,2,438,1,5.0,"STS-55 (Columbia), STS-63 (Discovery)",,
Bill Nelson,1990,13,Retired,1942-09-29,"Miami, FL",Male,Yale University; University of Virginia,Biology,Law,Captain,US Army (Retired),1,146,0,0.0,STS 61-C (Columbia),,
Bonnie J. Dunbar,1980,9,Retired,1949-03-03,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,Captain,US Army (Retired),5,1207,0,0.0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Brent W. Jett,1992,14,Retired,1958-10-05,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0.0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Brewster H. Shaw Jr.,1978,8,Retired,1945-05-16,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0.0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
Brian Duffy,1985,11,Retired,1953-06-20,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Brian T. O'Leary,1967,6,Deceased,1940-01-27,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,Colonel,US Air Force (Retired),0,0,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",2011-07-28,Due to cancer
Bruce E. Melnick,1987,12,Retired,1949-12-05,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0.0,"STS-41 (Discovery), STS-49 (Endeavor)",,
Bruce McCandless II,1966,5,Retired,1937-06-08,"Boston, MA",Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,Engineering,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12.0,"STS 41-B (Challenger), STS-31 (Discovery)",,
Bryan D. O'Connor,1980,9,Retired,1946-09-06,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0.0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Buzz Aldrin,1963,3,Retired,1930-01-20,"Montclair, NJ",Male,US Military Academy; MIT,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8.0,"Gemini 12, Apollo 11",,
Byron K. Lichtenberg,1963,3,Retired,1948-02-19,"Stroudsburg, PA",Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,Colonel,US Air Force (Retired),2,461,0,0.0,"STS-9 (Columbia), STS-45 (Atlantis)",,
C. Gordon Fullerton,1969,7,Retired,1936-10-11,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0.0,"STS-3 (Columbia), STS 51-F (Challenger)",,
C. Michael Foale,1987,12,Active,1957-01-06,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,Colonel,US Air Force (Retired),6,8970,4,22.0,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
Carl E. Walz,1990,13,Retired,1955-09-06,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19.0,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
